# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
2.654038,0.000000,0.620833,0.298045,0.999123,0.019728,0.999123,0.000000,1.000000,6.600583,0.000000,0.000000,0.000000,0.327173,0.255251,0.871622,0.018018,0.770270,0.101351,2.000000,15.906813,9.035987,36.000000,0.000000,0.256522,4.000000
2.694038,0.001794,0.431714,0.259091,0.996493,0.199474,0.994739,0.002480,3.000000,6.845255,0.194504,29.000000,0.000000,0.425203,0.274726,0.912162,0.033784,0.895646,0.016067,3.000000,13.255332,3.403307,28.500000,1.500000,0.517391,4.000000
2.734039,0.003589,0.554748,0.259393,1.000000,0.227532,0.992693,0.006089,3.000000,6.719515,0.380243,30.500000,2.500000,0.461824,0.283746,0.930180,0.031532,0.916667,0.006370,3.000000,12.582753,5.015439,29.500000,3.500000,0.426087,4.000000
2.774040,0.005383,0.563604,0.253859,0.989478,0.230162,0.984656,0.001454,4.000000,7.005575,0.011115,29.500000,0.500000,0.420541,0.310475,1.000000,0.049550,0.971471,0.020913,3.000000,8.891890,0.296197,31.000000,1.000000,0.426087,4.000000
2.814040,0.007178,0.602394,0.248107,0.990355,0.230162,0.985971,0.002702,4.000000,6.664460,0.398196,27.666667,2.624669,0.438851,0.315812,0.970721,0.042793,0.953829,0.022996,4.000000,8.398131,1.454094,27.333333,3.399346,0.400000,4.000000
2.854041,0.008972,0.564507,0.249562,0.989478,0.226655,0.988602,0.001074,4.000000,7.078376,0.016026,27.500000,0.500000,0.410833,0.282532,0.959459,0.063063,0.957207,0.001839,3.000000,9.065411,0.189061,27.500000,0.500000,0.413043,4.000000
2.894041,0.010767,0.574967,0.264672,0.994739,0.229285,0.987725,0.005075,4.000000,6.606922,0.697889,27.666667,0.942809,0.466779,0.288286,0.966216,0.054054,0.941441,0.021414,5.000000,7.731457,1.668518,27.333333,1.247219,0.334783,4.000000
2.934042,0.012561,0.595923,0.256962,0.992109,0.229285,0.991232,0.000716,3.000000,6.842426,0.296535,27.000000,1.000000,0.420270,0.293865,0.918919,0.042793,0.898649,0.014596,3.000000,12.501503,0.579800,27.500000,0.500000,0.465217,4.000000
2.974042,0.014356,0.586155,0.246171,0.997370,0.230162,0.992986,0.005011,3.000000,7.046232,0.053091,28.500000,4.500000,0.416216,0.270766,0.963964,0.045045,0.907658,0.040331,3.000000,10.011772,0.899798,28.500000,4.500000,0.439130,4.000000
3.014043,0.016150,0.581420,0.260767,0.994739,0.229285,0.991670,0.002009,4.000000,6.937986,0.256003,26.666667,4.496913,0.443243,0.276247,0.896396,0.051802,0.862613,0.024362,4.000000,9.564579,1.685096,28.000000,0.816497,0.386957,4.000000
3.054044,0.017945,0.593012,0.250166,0.991232,0.231039,0.987725,0.004355,3.000000,6.952623,0.034634,27.000000,1.000000,0.400405,0.273489,0.887387,0.040541,0.852853,0.026797,3.000000,12.763035,0.595532,28.000000,2.000000,0.556522,4.000000
3.094044,0.019739,0.558045,0.251158,0.986848,0.216133,0.979541,0.005742,3.000000,6.808244,0.067462,28.500000,0.500000,0.383401,0.261646,0.871622,0.029279,0.842342,0.021208,3.000000,12.944408,0.393106,28.000000,1.000000,0.569565,4.000000
3.134045,0.021534,0.539816,0.260555,0.967558,0.194213,0.958571,0.005795,4.000000,6.761959,0.181198,26.666667,1.699673,0.411104,0.262723,0.824324,0.036036,0.822072,0.002758,4.000000,12.425167,1.288058,26.666667,2.624669,0.517391,4.000000
3.174045,0.023328,0.553766,0.247625,0.953529,0.190706,0.947392,0.008636,4.000000,6.508660,0.606411,27.000000,2.160247,0.385023,0.280927,0.867117,0.027027,0.837275,0.019069,4.000000,10.524756,2.991849,26.666667,2.624669,0.413043,4.000000
3.214046,0.025123,0.488514,0.242301,0.943008,0.166155,0.938331,0.003603,3.000000,7.063878,0.111852,28.000000,1.000000,0.352658,0.262490,0.835585,0.018018,0.819069,0.012244,3.000000,12.748194,0.335480,25.500000,1.500000,0.726087,0.000000
3.254046,0.026917,0.500342,0.253188,0.930732,0.160894,0.926567,0.005274,4.000000,7.071636,0.188228,25.666667,0.471405,0.406509,0.264091,0.835586,0.020270,0.812500,0.022089,4.000000,11.979389,1.034565,26.666667,1.247219,0.530435,4.000000
3.294047,0.028712,0.501526,0.240404,0.917580,0.157387,0.908593,0.010418,4.000000,6.867761,0.485368,27.333333,2.054805,0.375450,0.279046,0.810811,0.018018,0.804617,0.005824,4.000000,10.904240,3.189675,26.666667,1.885618,0.556522,4.000000
3.334048,0.030506,0.455353,0.227818,0.900921,0.146865,0.895952,0.003531,3.000000,7.335202,0.006891,27.500000,3.500000,0.365428,0.261675,0.806306,0.024775,0.804054,0.003185,3.000000,12.810827,0.413634,26.000000,2.000000,0.817391,0.000000
